,lonbins,latbins,ubar,vbar,shape
0,-90.78823529411764,24.03125,0.012934733695524848,-0.11913800189843342,34.0
1,-90.5764705882353,24.03125,-0.04844753596424209,-0.053945303962031635,16.0
2,-90.36470588235294,24.03125,-0.06341819179024814,0.009081420938863003,0.0
3,-90.15294117647059,24.03125,-0.07978155300421712,-0.05278745773460072,0.0
4,-89.94117647058823,24.03125,-0.0376469964565709,-0.06764849427564656,0.0
5,-89.72941176470589,24.03125,-0.013759542662408114,-0.050209018264634656,0.0
6,-89.51764705882353,24.03125,-0.056024481856611394,-0.0742121902086902,0.0
7,-89.30588235294118,24.03125,-0.040638775203566624,-0.07613700958526,0.0
8,-89.09411764705882,24.03125,-0.05073363772968091,-0.015584664612082319,0.0
9,-88.88235294117646,24.03125,-0.02921287321019523,-0.0361834642595076,0.0
10,-88.67058823529412,24.03125,-0.037372362084951746,-0.15602925863158693,0.0
11,-88.45882352941176,24.03125,-0.014944160160061554,-0.0691996695766745,0.0
12,-88.24705882352941,24.03125,-0.06287132473432393,-0.012938228683759333,0.0
13,-88.03529411764706,24.03125,-0.1095518957419293,0.01895408113249933,0.0
14,-87.82352941176471,24.03125,-0.26934027619957485,-0.07461651511710811,0.0
15,-87.61176470588235,24.03125,-0.31361717529773003,0.11404031227958981,0.0
16,-87.4,24.03125,-0.4671624047697785,0.30111817816173947,0.0
17,-87.18823529411765,24.03125,-0.43809089310407673,0.2880979409224645,0.0
18,-86.97647058823529,24.03125,-0.295175024770847,0.39826286452573784,0.0
19,-86.76470588235294,24.03125,-0.07773377020115625,0.026426915687183174,0.0
20,-86.55294117647058,24.03125,-0.04990493501757589,-0.013369981116013903,0.0
21,-86.34117647058824,24.03125,-0.01005411693930306,-0.01544762693903379,0.0
22,-86.12941176470588,24.03125,-0.05993094708533841,0.06032261279627717,0.0
23,-85.91764705882353,24.03125,-0.07926765554434381,-0.027754037975687675,0.0
24,-85.70588235294117,24.03125,-0.001990859400401324,-0.03003910702280032,0.0
25,-85.49411764705883,24.03125,0.13994745076620982,-0.09731342694728456,0.0
26,-85.28235294117647,24.03125,0.20302777630653288,-0.034414591336384213,0.0
27,-85.07058823529411,24.03125,0.18490045022532142,-0.180825722666643,0.0
28,-84.85882352941177,24.03125,0.25942635720976176,-0.2551919136368836,0.0
29,-84.6470588235294,24.03125,0.4039897773045743,-0.3449697868727019,0.0
30,-84.43529411764706,24.03125,0.41888195197211275,-0.30639651866902995,0.0
31,-84.2235294117647,24.03125,0.40164004136487275,-0.27946874383391285,0.0
32,-84.01176470588236,24.03125,0.40542379118643923,-0.2817368080490767,0.0
33,-83.8,24.03125,0.3004360651596719,-0.25017157021418557,0.0
34,-90.78823529411764,24.2625,-0.0019703873611860265,-0.048574075969414224,0.0
35,-90.5764705882353,24.2625,-0.01241558666813216,-0.03693594263050513,0.0
36,-90.36470588235294,24.2625,0.003214216777218128,-0.05964019463852002,0.0
37,-90.15294117647059,24.2625,0.048173024901404106,-0.04037605350644635,0.0
38,-89.94117647058823,24.2625,0.021711527125971745,-0.0602535663253899,0.0
39,-89.72941176470589,24.2625,0.01401772387864767,-0.08797543513647166,0.0
40,-89.51764705882353,24.2625,0.11110301838966233,-0.09907244590794274,0.0
41,-89.30588235294118,24.2625,0.06334956111840774,-0.10544854952226373,0.0
42,-89.09411764705882,24.2625,0.080851702288181,-0.05360571707807448,0.0
43,-88.88235294117646,24.2625,0.17987771017491921,-0.1873157119268949,0.0
44,-88.67058823529412,24.2625,0.14856651360849502,-0.20242632131964486,0.0
45,-88.45882352941176,24.2625,0.07686327271663511,0.002348529749021812,0.0
46,-88.24705882352941,24.2625,0.03336164217099452,0.04302740418481453,0.0
47,-88.03529411764706,24.2625,-0.09403250140905371,0.09224447695267891,0.0
48,-87.82352941176471,24.2625,-0.35278804760218124,0.22283215795242842,0.0
49,-87.61176470588235,24.2625,-0.5275843871075001,0.31998348285633677,0.0
50,-87.4,24.2625,-0.3181516200469451,0.07553687135797627,0.0
51,-87.18823529411765,24.2625,-0.3789810378470868,0.08049022391377242,0.0
52,-86.97647058823529,24.2625,-0.23071175208992936,0.08131748239531204,0.0
53,-86.76470588235294,24.2625,-0.07335646165641413,-0.03801193715643007,0.0
54,-86.55294117647058,24.2625,-0.05585509309290983,-0.02834620299400575,0.0
55,-86.34117647058824,24.2625,-0.13545187968090192,0.0860925585555735,0.0
56,-86.12941176470588,24.2625,-0.04827594920803652,0.030366709935744193,0.0
57,-85.91764705882353,24.2625,-0.031056323934597892,0.0004447025072985512,0.0
58,-85.70588235294117,24.2625,-0.09787919340433424,-0.15157636035588776,0.0
59,-85.49411764705883,24.2625,-0.03247511173490435,-0.26524213270404917,0.0
60,-85.28235294117647,24.2625,0.08659197877585656,-0.13472117605401177,0.0
61,-85.07058823529411,24.2625,0.12921544880527752,-0.1518815382057741,0.0
62,-84.85882352941177,24.2625,0.21500884071805254,-0.27746856900125666,0.0
63,-84.6470588235294,24.2625,0.3466282868168547,-0.3928417352438329,0.0
64,-84.43529411764706,24.2625,0.261683327434741,-0.23458692122370303,0.0
65,-84.2235294117647,24.2625,0.2204482066813056,-0.2527289140294152,0.0
66,-84.01176470588236,24.2625,0.28901989249985827,-0.22393184704651367,0.0
67,-83.8,24.2625,0.22177113057044684,-0.20954700676543525,0.0
68,-90.78823529411764,24.493750000000002,-0.10740696156329188,-0.0492367462872052,0.0
69,-90.5764705882353,24.493750000000002,-0.0732946970989344,-0.08804187524795526,0.0
