,lonbins,latbins,ubar,vbar
61,-92.74576271186442,23.961290322580645,-0.021835237595662638,-0.034601237132451106
62,-92.59152542372883,23.961290322580645,-0.02327324548694386,-0.05006249474769361
63,-92.43728813559322,23.961290322580645,-0.0916274122369474,-0.17577559894388622
64,-92.28305084745763,23.961290322580645,-0.2127094446476126,-0.08544215869682338
65,-92.12881355932204,23.961290322580645,-0.16555686613017867,-0.008501892948173476
66,-91.97457627118645,23.961290322580645,-0.20011303489957194,-0.0665155093614137
67,-91.82033898305085,23.961290322580645,-0.08559119426928255,-0.023667138261864822
68,-91.66610169491526,23.961290322580645,-0.05643128087834376,0.02880620980120092
69,-91.51186440677967,23.961290322580645,-0.0760465937269303,-0.03391818134813454
70,-91.35762711864407,23.961290322580645,-0.07388880669746825,-0.05286155821275094
71,-91.20338983050848,23.961290322580645,-0.07592277255645762,0.08419748952467918
72,-91.04915254237288,23.961290322580645,-0.11954317579894394,0.043508393151171984
73,-90.89491525423729,23.961290322580645,-0.042574432541941765,0.02117099145952429
74,-90.7406779661017,23.961290322580645,0.025931130226411574,-0.11411407399154085
75,-90.58644067796611,23.961290322580645,-0.03172064747441457,-0.11333121033245389
76,-90.4322033898305,23.961290322580645,-0.07884432667857781,-0.013638145300464536
77,-90.27796610169491,23.961290322580645,-0.0795997027359983,-0.011651847605597452
78,-90.12372881355932,23.961290322580645,-0.1365401933403538,-0.09159392451994183
79,-89.96949152542373,23.961290322580645,-0.039554791786039774,-0.08414631174870209
80,-89.81525423728814,23.961290322580645,-0.05422177695451023,-0.007054468781589407
81,-89.66101694915254,23.961290322580645,-0.036387794973841606,-0.05917864575285028
82,-89.50677966101695,23.961290322580645,-0.08429527207895195,-0.09748420998773887
83,-89.35254237288136,23.961290322580645,-0.04869047823630341,-0.08537807395703993
84,-89.19830508474577,23.961290322580645,-0.03289767439408844,-0.046646083364312266
85,-89.04406779661016,23.961290322580645,-0.07808665671098465,-0.037823180877189784
86,-88.88983050847457,23.961290322580645,-0.047664766746766785,-0.016401127064882726
87,-88.73559322033898,23.961290322580645,-0.11295080868617681,-0.1636968014157578
88,-88.5813559322034,23.961290322580645,-0.12340412294845542,-0.0960841592637335
89,-88.4271186440678,23.961290322580645,-0.08808254370430019,-0.08917067755445815
90,-88.2728813559322,23.961290322580645,-0.08200071588485301,-0.019393062419068744
91,-88.11864406779661,23.961290322580645,-0.14149353209408647,0.04978106570315286
92,-87.96440677966102,23.961290322580645,-0.1317795731237972,-0.005034535099349604
93,-87.81016949152543,23.961290322580645,-0.20362443290471924,-0.08746085071726098
